Age,Training_Hours_Per_Week,Performance_Score,Gender,Calories_Required,Height,Weight,Training_Complexity_Range
35,19,1.18,Male,2287,169,91,Medium
39,25,9.66,Male,1793,156,52,Low
18,14,9.06,Male,3304,172,50,Medium
19,19,7.51,Male,3073,168,72,High
21,15,8.61,Female,3252,160,58,High
33,27,3.99,Male,1884,168,62,Low
43,18,6.9,Male,1945,187,85,High
26,5,6.56,Female,1942,167,90,Medium
40,22,5.52,Female,2986,171,87,Medium
36,29,4.11,Female,3031,190,93,High
38,21,5.89,Male,2471,188,70,High
33,24,6.95,Female,1788,160,93,Medium
36,24,6.91,Male,1817,189,97,High
45,8,9.79,Female,2073,155,57,Medium
28,24,6.78,Male,3090,186,82,Low
22,15,4.09,Male,1913,174,59,Medium
28,24,5.16,Female,3155,166,53,High
31,30,7.7,Female,1798,157,94,Medium
18,13,7.03,Male,3282,185,70,High
21,17,7.41,Male,2895,159,71,Medium
36,15,1.4,Male,2625,177,100,High
24,25,6.19,Female,2665,154,91,Low
43,16,2.22,Male,3015,179,63,High
33,23,2.81,Female,2245,153,96,High
40,12,3.15,Male,2876,167,56,High
22,6,4.13,Male,1505,162,79,Medium
33,26,2,Female,1662,181,57,Low
21,16,1.46,Male,3172,181,60,High
45,8,2.77,Male,2014,188,51,Low
25,8,9.46,Female,3293,180,56,Low
25,25,7.06,Female,2111,178,85,Medium
31,26,7.53,Male,2703,160,98,High
25,12,1.29,Female,2002,171,97,High
29,21,6.39,Female,2819,167,57,High
21,12,9.06,Female,2142,155,65,Low
40,13,8.18,Male,3035,174,53,Low
19,21,9.58,Female,2062,151,94,High
34,11,3.58,Male,2207,167,91,High
32,24,1.53,Male,2900,188,75,Low
43,24,4.97,Male,2161,186,80,Low
45,27,1.9,Male,2581,168,62,Medium
20,25,8.41,Male,2062,174,60,High
20,29,3.21,Female,2300,168,52,High
38,18,6.78,Male,2625,185,64,Low
38,14,4.97,Male,2881,165,55,High
23,24,9.6,Female,1904,180,83,Low
18,5,8.48,Male,2571,177,92,Low
25,24,4.56,Male,3092,159,76,High
18,13,2.43,Female,2113,182,82,Low
39,16,4.62,Male,3196,184,80,Medium
28,29,7.21,Male,3122,159,78,High
35,25,4.29,Male,3168,173,68,Low
39,22,7.83,Female,2570,171,62,Low
24,23,4.38,Male,3357,181,60,High
27,21,6.94,Female,2266,182,70,Low
35,16,7.2,Male,3378,176,57,Medium
21,28,5.06,Female,2284,181,64,High
40,10,9.99,Female,2948,151,80,Medium
21,12,2.36,Female,3152,158,84,Low
38,22,6.66,Male,3414,164,64,Low
29,7,4.04,Female,3470,187,54,Medium
35,18,3.86,Female,2912,153,69,Medium
32,17,7.16,Female,2328,179,61,Low
30,21,9.44,Female,2545,159,54,Low
18,21,8.76,Female,2526,179,52,Low
20,17,9.71,Female,3463,160,68,Low
42,17,3.71,Female,3236,167,99,Medium
30,22,9.72,Female,2756,180,82,Low
34,21,1.07,Male,3337,182,76,Low
45,8,4.76,Female,2068,188,54,High
39,14,4.36,Male,1897,154,90,Medium
20,23,3.8,Female,2111,177,90,Medium
19,25,4.69,Male,2037,154,67,High
36,11,5.47,Male,2989,183,59,Low
42,12,3.92,Female,3082,174,80,High
37,16,9.29,Male,2273,181,85,Low
39,23,9.33,Male,2758,155,98,Low
35,24,6.42,Male,2533,168,69,Medium
33,28,7.21,Male,2207,187,82,Low
27,6,8.64,Male,2506,157,58,High
20,29,9.88,Female,1800,179,92,High
33,13,4.04,Male,2517,183,91,Medium
33,27,5.55,Male,3149,169,65,High
22,24,9.85,Female,2033,178,67,High
23,28,6,Male,2392,189,58,Low
30,18,8.66,Male,2985,188,93,High
35,14,6.17,Male,3133,162,94,Low
33,25,4.85,Female,2857,177,91,Low
22,29,8.87,Female,2237,159,59,Low
31,26,9.8,Male,2081,166,83,Low
23,21,7.4,Female,2716,155,99,Medium
27,10,9.36,Male,1788,183,59,Medium
19,10,3.48,Female,1911,166,97,High
39,30,3.79,Female,2982,158,54,Low
32,15,4.93,Female,2500,157,93,High
36,19,4.5,Female,3184,189,91,Medium
41,8,9.85,Male,3286,163,76,Low
43,7,9.94,Male,1707,190,91,Medium
33,29,7.72,Male,2118,181,73,Medium
35,18,8.63,Female,2076,152,83,High
22,15,7.05,Male,1966,163,77,High
29,17,6.95,Male,3464,154,75,Medium
21,25,3.7,Female,1564,151,66,Medium
28,20,5.62,Male,1757,176,76,High
25,6,2.58,Female,1596,163,67,Medium
40,27,4.41,Male,2580,171,94,Low
34,14,7.23,Female,1866,155,98,High
21,12,3.21,Female,2083,155,74,High
41,12,4.23,Male,3378,176,52,Low
42,11,6.74,Female,3469,175,76,Medium
36,17,3,Male,2652,166,51,High
23,26,7.54,Male,2839,189,80,Low
29,25,4.91,Female,2893,158,55,Low
26,14,3.95,Female,2207,157,83,Medium
36,26,8.58,Female,1959,163,83,High
30,24,3.54,Male,2605,186,54,High
43,29,3.1,Male,1624,153,80,High
33,6,7.53,Female,3428,152,86,Low
32,17,2.47,Female,2815,184,93,High
44,23,2.72,Male,2151,162,87,High
30,28,7.32,Male,2772,175,90,Medium
32,5,7.07,Male,3046,151,86,Medium
38,10,8.3,Male,2488,178,78,High
41,8,6.76,Female,2564,168,56,Low
42,26,1.03,Male,3326,182,73,Medium
20,21,6.27,Female,2518,177,59,Low
42,13,5.27,Male,1612,184,64,High
36,26,1.77,Male,2144,151,98,Low
43,21,4.97,Female,1652,168,82,Low
26,9,4.26,Male,2060,153,88,High
35,18,8.13,Female,2264,165,94,Medium
26,8,9.86,Male,3314,174,80,Low
37,9,2.59,Male,3060,153,54,High
44,23,9.49,Male,3327,172,76,Medium
44,18,9.63,Female,2652,188,63,Medium
44,25,2.64,Female,2683,176,75,Low
32,27,4.63,Male,2761,181,53,Medium
26,23,8.8,Female,1640,152,84,Low
27,28,5.24,Male,2413,178,59,High
39,12,5.35,Male,2525,184,73,Medium
33,30,5.05,Male,2742,183,76,Medium
43,22,3.14,Male,1573,158,55,Low
40,15,2.44,Female,2357,170,88,Medium
31,25,8.03,Female,2426,150,62,Medium
18,25,8.43,Male,1728,150,68,High
43,28,9.61,Male,3315,177,52,Low
25,30,7.59,Female,1954,180,66,High
21,7,2.25,Female,3041,184,52,Medium
35,15,7.28,Male,1573,161,85,Low
20,15,5.03,Male,2423,188,84,High
30,8,6.64,Male,1795,180,91,Low
18,17,8.56,Female,1960,163,74,High
45,27,1.13,Female,3324,157,70,Medium
39,10,6.79,Male,2235,159,54,High
27,28,5.9,Male,2611,162,85,Low
29,24,4.13,Female,2836,171,76,High
38,15,2.19,Male,1834,183,68,High
31,20,8.2,Male,2276,167,68,High
39,18,4.74,Female,2602,176,72,Medium
35,26,8.71,Male,3001,182,90,Low
25,28,3.01,Male,3328,161,100,High
27,17,2.7,Male,3078,183,87,Medium
23,18,3.68,Male,3375,168,50,High
31,14,9.01,Female,1688,175,81,High
44,22,8.26,Female,2815,170,97,High
26,24,3.98,Male,1951,156,57,Medium
18,8,7.89,Female,2438,161,76,Medium
28,12,4.17,Female,2767,159,81,High
32,14,5.99,Male,2609,151,85,Medium
33,24,4.13,Female,1789,162,89,Medium
44,19,2.26,Female,2755,184,97,Medium
21,11,4.79,Male,2809,190,97,Low
42,14,3.98,Male,1676,171,72,High
39,7,9.62,Female,1673,152,78,Low
43,26,3.46,Male,1746,173,67,Low
37,19,7.94,Female,2756,150,59,High
32,7,8.28,Female,3275,154,87,Medium
37,22,1.22,Female,1669,170,87,Medium
24,19,2.08,Male,1794,175,67,High
45,28,5.89,Female,3039,160,80,Low
41,9,9.13,Male,2828,177,75,High
22,30,7.41,Female,2360,174,85,Medium
19,12,3.11,Male,2345,152,73,High
43,7,2.59,Female,2624,175,82,Low
23,11,9.45,Female,2103,162,92,High
20,20,5.34,Male,3038,175,63,Medium
28,15,9.17,Male,2191,169,97,High
41,16,3.81,Female,1714,178,98,Medium
32,25,6.58,Female,3001,185,65,Low
39,13,5.3,Female,2905,163,87,Medium
42,23,9.03,Male,2317,173,90,High
44,27,6.78,Male,2076,170,51,Medium
34,14,5.99,Male,3140,178,71,Medium
45,9,5.01,Female,1686,162,55,Medium
22,25,4.87,Female,2779,168,54,Low
44,16,6.61,Female,3145,153,57,High
40,16,4.85,Female,3191,188,60,Low
44,18,5.49,Female,2558,190,71,Low
37,17,8.98,Male,3491,172,64,High
43,15,2.17,Male,1711,161,71,Low
27,20,3.37,Male,2756,159,85,Low
19,24,3.61,Female,2973,161,71,Medium
