Age,Training_Hours_Per_Week,Performance_Score,Gender,Calories_Required,Height,Weight,Training_Complexity_Range
27,14,3,Female,2081,176,90,High
41,9,6,Female,2216,186,78,High
41,27,5,Female,2847,156,60,Low
32,29,2,Male,2878,179,89,High
31,7,3,Male,3256,154,94,High
24,28,2,Male,1928,151,94,Low
28,18,9,Male,2782,161,96,Medium
25,22,8,Female,2011,189,62,Low
24,26,8,Male,2034,152,77,Medium
38,20,8,Female,1689,174,56,High
40,16,8,Male,1594,171,81,Low
33,7,9,Male,3463,189,62,High
24,22,2,Male,3406,159,68,Low
31,27,6,Female,3372,157,64,Low
19,15,4,Male,3020,167,81,High
28,16,2,Male,3138,169,63,Low
31,30,6,Male,2919,182,94,Low
33,26,4,Female,3070,186,74,Medium
35,25,3,Male,2084,165,92,High
21,12,4,Female,2380,163,90,Low
21,28,1,Female,3425,181,72,Medium
42,7,10,Male,2680,183,87,Low
37,12,8,Male,2356,169,91,Low
19,23,7,Female,3353,150,79,Medium
43,9,5,Male,3080,150,63,Low
29,22,4,Male,1738,182,62,Medium
23,23,6,Male,2009,171,56,Medium
44,22,3,Male,1885,189,53,Medium
30,19,3,Female,1716,166,70,Medium
27,27,5,Male,2814,174,58,High
22,12,7,Male,2882,179,56,High
45,21,4,Female,3073,156,91,High
24,23,3,Male,1979,178,70,Low
21,20,4,Male,2358,185,79,Low
25,18,6,Female,1985,190,87,Low
27,6,3,Male,2967,182,64,Low
41,27,6,Male,1875,169,76,Medium
20,29,1,Female,1630,161,90,Low
27,18,3,Female,3036,154,78,Low
36,24,2,Male,3375,180,56,High
31,17,5,Female,1933,152,87,High
34,20,6,Male,3463,176,89,Low
26,7,6,Male,1845,161,58,Low
42,27,7,Female,3427,175,79,Low
45,14,2,Female,1572,156,58,Medium
30,21,9,Female,1808,179,68,Medium
41,28,4,Male,2981,177,68,High
22,23,3,Female,1692,163,57,Medium
19,16,3,Female,2813,154,95,High
18,18,9,Male,1651,156,84,High
33,25,6,Female,3109,186,56,Medium
21,17,7,Female,2145,153,73,Low
31,6,7,Female,2479,184,53,Low
24,28,2,Male,1607,184,81,High
19,15,4,Male,2682,169,72,Medium
28,22,9,Male,2012,164,78,Medium
44,14,5,Female,2968,163,54,Medium
28,16,9,Male,3417,163,73,Medium
43,21,7,Female,3255,158,85,Low
45,14,5,Female,3366,161,99,Medium
28,26,3,Male,2147,180,66,Low
23,9,3,Male,2209,154,98,Medium
24,27,10,Male,2183,160,81,Medium
35,8,3,Female,2130,156,60,High
18,17,3,Female,2144,176,78,High
36,6,1,Male,2105,190,92,Medium
27,14,5,Male,2598,186,88,Low
33,30,6,Female,2558,168,71,Low
21,24,7,Female,2330,175,90,Medium
42,14,9,Female,1958,176,84,High
19,18,3,Female,2551,184,87,High
30,29,2,Male,1811,166,69,High
32,25,7,Male,2760,189,87,High
45,17,7,Female,2713,151,99,Medium
26,12,1,Male,1902,183,82,Low
23,13,8,Female,2019,187,65,Medium
22,13,7,Male,2292,184,77,High
26,22,10,Male,1795,155,93,High
38,18,8,Female,3098,162,86,High
31,10,2,Female,2053,154,95,Medium
31,7,1,Male,3060,162,71,High
39,20,3,Male,3371,162,99,High
43,17,7,Male,1666,157,79,Medium
36,13,8,Male,1732,173,77,Medium
20,9,8,Female,2499,160,55,Medium
23,27,8,Male,2111,178,57,High
22,16,9,Male,2163,180,58,Medium
27,12,9,Male,3409,182,94,Low
19,24,6,Male,3241,184,62,Low
18,22,2,Female,3193,186,65,Low
45,30,4,Male,1722,151,85,High
33,27,8,Female,2554,168,94,Medium
28,18,2,Female,1595,154,87,Low
35,27,9,Male,2913,157,91,Medium
34,10,4,Female,1781,181,57,Medium
40,7,7,Female,2677,172,91,Medium
21,13,8,Female,2790,174,55,Medium
42,10,10,Male,3374,159,58,High
35,20,8,Female,3427,160,72,Medium
29,22,7,Female,1728,159,52,High
26,8,5,Male,1978,187,99,High
21,19,8,Female,2472,176,78,Medium
43,6,9,Female,2403,165,54,Medium
30,12,5,Female,1994,159,73,High
32,11,6,Male,3108,181,54,Medium
30,16,6,Female,3125,184,77,Medium
29,9,4,Female,2239,155,95,High
38,25,6,Male,3072,161,88,High
39,7,1,Male,2296,188,86,Medium
41,6,5,Male,2114,164,62,Medium
44,26,3,Male,2553,156,64,High
32,18,9,Female,2599,181,78,Medium
41,9,2,Male,2534,186,82,Medium
39,26,6,Male,3132,171,88,Medium
20,20,4,Male,2291,160,75,High
41,27,5,Female,2358,163,81,Low
30,26,5,Female,2013,178,51,Medium
22,7,9,Male,2551,170,62,Low
39,8,6,Female,2220,164,52,Medium
40,6,9,Male,2430,164,54,High
45,10,2,Female,3194,155,62,High
33,12,6,Male,1700,170,79,High
31,26,2,Female,1564,157,54,High
22,20,3,Male,3380,153,71,Low
24,14,10,Female,2643,157,93,Medium
23,9,6,Male,1854,175,51,High
26,19,4,Male,3354,162,56,Low
38,26,5,Female,1783,158,95,High
37,17,2,Female,1744,151,99,High
40,15,6,Male,2673,160,71,Medium
39,25,3,Male,2490,190,60,Low
27,27,5,Female,2530,178,88,High
34,9,1,Female,2243,176,58,Medium
40,5,4,Male,3451,181,54,High
26,30,8,Female,2181,165,59,Low
37,13,9,Female,2831,174,91,High
42,22,7,Female,3176,164,70,High
31,25,3,Female,2095,188,80,Low
22,5,9,Female,3275,163,72,Medium
28,29,9,Female,2627,177,64,Medium
36,11,10,Male,2005,184,86,High
39,16,1,Male,2092,186,73,High
26,25,4,Female,3112,166,53,High
45,22,7,Female,3307,187,77,Medium
29,20,4,Male,1960,155,59,Medium
21,11,5,Female,2704,169,63,Medium
20,25,8,Female,2042,177,95,High
31,29,5,Male,1980,172,60,High
44,29,8,Male,2828,167,90,Medium
28,28,7,Male,3075,189,76,Low
25,20,4,Male,1592,189,86,High
40,22,6,Male,2787,174,60,Low
21,8,9,Male,2040,186,84,Low
21,27,5,Female,2975,158,50,Low
31,12,7,Female,1879,183,61,High
19,27,1,Female,2032,181,83,High
26,13,10,Male,1558,172,90,Low
22,24,5,Female,2068,152,86,Low
22,16,4,Female,3314,168,95,Medium
22,8,7,Female,2599,166,58,High
44,19,2,Female,1818,172,56,Medium
25,14,2,Male,2109,169,75,Low
38,27,6,Female,2033,168,63,Low
21,19,1,Male,2013,151,94,High
19,26,7,Male,2163,175,62,Low
20,20,3,Female,1574,162,55,Medium
30,6,9,Female,2861,176,63,Low
39,15,6,Female,2444,165,78,Low
45,7,5,Female,2587,157,72,Medium
35,9,1,Male,2546,161,59,Medium
25,25,5,Female,2423,153,52,Medium
28,24,10,Female,1917,172,72,High
21,11,1,Male,3170,163,52,Low
21,30,3,Female,3165,178,93,Medium
22,16,5,Male,1849,153,77,High
25,15,5,Male,3000,150,84,High
34,22,8,Male,2197,182,58,Medium
30,22,8,Male,1825,162,74,High
43,30,5,Male,1941,166,93,Low
22,8,8,Male,1895,185,77,High
33,18,9,Male,1698,171,58,High
31,13,3,Male,2448,173,79,Low
22,8,6,Male,1865,162,92,High
29,17,3,Male,2507,175,67,Low
25,10,3,Male,2624,171,73,Medium
31,25,7,Female,1523,185,78,Low
34,30,9,Female,1955,154,64,Medium
40,26,8,Male,3017,180,98,Low
25,24,2,Male,1919,180,63,High
44,24,7,Female,1871,152,94,Medium
23,20,4,Male,2901,157,85,Medium
39,30,4,Male,1678,156,69,Low
36,7,8,Male,2027,180,51,Medium
33,15,4,Female,3323,171,84,Medium
21,21,4,Female,2397,188,87,High
36,17,2,Female,2834,166,76,High
35,11,2,Male,2978,163,81,Medium
32,25,6,Female,2195,166,57,Low
31,18,9,Female,3363,151,57,Low
44,18,9,Female,3169,153,93,Medium
41,9,5,Male,1541,178,64,Medium
36,12,5,Female,1672,160,90,Medium
32,18,1,Male,2252,164,82,Low
31,11,4,Female,1865,190,95,High
19,22,3,Female,2403,176,98,High
34,14,4,Female,3276,184,91,Low
19,19,4,Female,1612,179,92,Low
41,21,6,Female,3013,155,85,Medium
38,26,9,Male,3330,180,76,Low
27,16,4,Female,1560,168,89,Medium
39,7,2,Female,1972,167,98,High
41,16,5,Male,2993,154,96,Low
38,13,3,Male,1852,175,83,High
18,14,10,Male,2780,170,84,Medium
39,24,9,Male,2555,163,93,Medium
27,28,6,Male,3073,163,53,Low
35,13,9,Male,3361,170,91,High
30,26,7,Female,1728,176,55,High
37,17,7,Male,1923,180,93,Medium
43,26,5,Female,2415,178,84,Low
21,25,2,Female,2453,174,78,High
35,15,3,Female,3141,172,52,Medium
36,7,7,Female,1559,179,63,High
28,11,8,Male,2097,158,61,High
40,29,7,Male,1634,186,68,Low
42,27,3,Male,2540,152,74,High
36,12,5,Female,1899,176,53,Medium
21,15,10,Female,2906,182,78,Low
35,10,5,Female,1844,156,75,High
32,23,8,Male,1525,151,58,Low
18,23,2,Male,2370,185,64,High
19,20,9,Female,2353,185,72,Low
31,29,8,Male,1998,168,96,High
23,7,4,Male,3074,185,94,Medium
19,25,7,Female,1699,165,77,Low
32,14,6,Male,3377,156,92,Medium
25,24,9,Male,1887,157,89,Low
43,22,9,Female,1760,156,87,Medium
32,18,6,Male,2984,167,92,High
42,18,6,Male,3480,177,53,Medium
33,8,2,Male,2363,182,58,Low
34,24,4,Male,2003,189,85,Medium
22,22,6,Male,2146,152,92,Medium
39,26,10,Male,2708,165,93,Low
44,16,3,Female,2065,171,75,Medium
18,11,6,Male,2532,169,86,Low
40,25,2,Male,3007,175,65,High
31,29,7,Male,1654,154,89,High
36,27,9,Female,1611,161,67,Medium
26,21,8,Female,2954,173,73,Low
20,25,9,Female,1652,161,56,High
43,27,5,Female,3185,155,87,Medium
39,10,2,Female,2058,174,80,High
22,6,9,Female,2357,179,60,High
45,16,8,Male,1504,184,98,High
37,10,9,Female,2652,188,78,High
18,21,5,Female,3092,183,64,Low
40,16,3,Male,1894,153,62,Low
38,24,4,Male,3023,177,61,Medium
39,29,7,Male,3378,165,68,High
28,29,8,Male,3017,170,95,Low
39,21,7,Female,1830,174,74,Low
42,29,5,Female,2162,177,60,Low
25,16,8,Male,2047,170,69,High
40,23,3,Male,2929,166,61,Low
45,6,5,Male,1523,156,73,High
34,23,4,Female,1622,186,87,High
18,22,6,Male,1777,181,87,Low
25,27,9,Female,2121,181,77,Low
45,7,10,Female,3454,170,67,Low
19,29,3,Male,2747,158,99,Low
34,12,3,Male,3036,173,67,High
33,16,3,Male,3394,183,60,High
43,14,10,Female,3052,154,57,High
44,18,5,Male,2575,172,95,Medium
43,15,6,Male,3096,153,74,Low
25,17,9,Female,2914,172,59,Medium
40,12,9,Male,1776,165,85,High
37,28,9,Male,3175,154,93,High
39,13,2,Female,2237,159,98,High
18,16,4,Male,1887,167,61,High
19,7,8,Female,1812,181,57,Medium
31,13,3,Female,1991,163,50,Low
28,25,3,Female,2053,178,78,High
39,25,9,Female,2692,187,71,Low
30,23,8,Female,3316,186,90,Medium
26,24,9,Female,2067,173,65,Low
30,19,6,Male,3224,164,69,Low
29,23,3,Female,1949,188,70,High
